machine_type,shift,maintenance_done_recently,runtime_hours,production_units,avg_load_pct,temperature_c,vibration_mm_s,idle_minutes,days_since_maintenance,energy_kwh
Conveyor,Night,No,8.99,593,43.0,49.8,1.49,31.4,21,216.4
Compressor,Morning,No,9.03,1110,78.3,74.0,2.81,52.4,86,303.1
Compressor,Night,No,15.55,1619,100.0,122.5,1.36,75.2,104,459.9
Conveyor,Night,No,21.69,780,49.9,39.4,0.54,29.2,31,263.5
Pump,Morning,No,17.31,500,55.5,47.3,2.71,63.5,70,268.9
CNC,Morning,No,3.11,817,55.7,73.8,2.88,36.1,84,205.9
Compressor,Night,Yes,12.57,1178,100.0,91.1,1.52,37.3,26,350.1
Conveyor,Night,No,5.5,648,54.9,44.7,2.08,41.1,28,218.4
Conveyor,Morning,Yes,14.2,582,53.4,36.0,0.69,39.8,54,267.9
CNC,Morning,No,7.0,935,71.6,73.4,3.15,22.3,60,287.7
Compressor,Morning,No,10.9,1285,81.2,66.4,1.9,43.1,108,363.2
CNC,Morning,No,15.12,1265,78.4,66.2,1.31,72.9,67,313.4
CNC,Morning,No,5.16,731,45.9,73.5,1.92,36.8,113,233.1
Pump,Morning,No,20.62,725,60.0,42.3,3.8,83.8,5,235.5
CNC,Afternoon,No,7.79,1140,78.9,78.4,1.46,27.4,68,293.2
Pump,Night,No,20.01,1024,54.0,56.0,1.67,64.3,113,345.6
Pump,Afternoon,No,4.25,913,53.3,49.5,0.11,40.8,35,217.3
Conveyor,Morning,No,17.41,433,41.1,43.5,2.53,36.9,119,249.2
Conveyor,Morning,Yes,19.3,567,50.0,36.8,1.23,52.6,8,225.3
Compressor,Night,No,2.64,881,97.5,95.3,5.66,47.7,76,322.8
CNC,Afternoon,No,13.36,997,92.5,70.7,3.76,32.4,108,331.0
Pump,Morning,Yes,21.31,959,76.5,56.8,3.36,27.3,114,324.3
Pump,Morning,Yes,12.58,532,71.9,59.9,1.25,68.6,112,224.3
Conveyor,Morning,No,4.07,344,52.2,43.5,2.26,33.2,36,219.4
Conveyor,Afternoon,No,6.87,430,44.0,45.5,1.48,10.0,89,164.1
Conveyor,Morning,No,4.59,584,56.2,38.7,2.82,38.2,94,177.1
Conveyor,Morning,Yes,1.44,770,51.1,47.5,0.62,81.0,108,209.1
Compressor,Morning,No,8.1,945,100.0,74.1,0.6,21.3,103,282.8
Compressor,Morning,No,6.29,817,100.0,74.5,9.47,23.4,96,382.0
Pump,Morning,No,17.83,744,63.1,46.9,4.28,54.7,20,241.7
Compressor,Morning,Yes,15.39,1040,72.9,76.0,0.73,35.1,46,298.1
Pump,Afternoon,Yes,5.58,836,43.9,52.6,5.34,23.4,42,173.3
Pump,Afternoon,No,16.31,977,75.4,45.4,0.19,32.0,46,268.7
CNC,Afternoon,No,4.13,784,85.3,53.0,7.54,61.8,101,253.4
CNC,Morning,No,2.31,981,53.2,59.2,1.39,43.3,118,262.9
CNC,Morning,No,14.16,730,74.8,66.6,2.16,43.4,14,242.6
Pump,Afternoon,No,4.64,691,43.7,58.4,2.41,54.7,61,167.7
Pump,Morning,No,20.77,590,53.5,44.5,1.95,17.8,118,279.4
Pump,Morning,No,8.97,701,65.8,55.2,1.23,23.6,68,212.1
Conveyor,Night,Yes,9.97,589,52.8,48.7,1.73,37.0,30,134.2
CNC,Morning,No,5.55,1009,93.6,72.1,1.27,47.2,67,272.6
Pump,Morning,No,21.71,762,44.3,49.1,3.72,27.5,110,259.3
CNC,Night,Yes,13.88,821,41.9,87.5,5.11,62.8,82,260.3
Conveyor,Afternoon,No,15.43,496,67.2,44.1,3.09,46.8,106,263.6
Pump,Night,No,6.81,1121,63.1,59.2,2.05,49.9,118,232.4
Compressor,Morning,No,10.89,1170,96.2,64.4,1.38,38.7,102,309.3
Conveyor,Morning,No,7.96,485,53.1,46.1,1.28,36.9,105,198.7
Compressor,Night,No,17.13,1419,74.0,84.9,2.1,21.6,76,343.4
Pump,Night,No,2.85,550,38.0,47.3,4.03,65.4,20,154.4
Pump,Night,No,22.5,868,54.1,62.0,2.55,20.2,19,256.1
Compressor,Night,Yes,5.78,1384,70.5,90.7,3.98,24.0,44,311.2
Pump,Morning,No,7.75,672,41.1,52.8,1.07,28.2,108,173.9
Compressor,Night,No,18.55,1528,87.8,111.3,2.22,36.1,84,394.5
CNC,Morning,No,4.43,1649,61.2,52.8,2.59,73.8,16,284.5
CNC,Afternoon,No,1.9,830,91.5,81.7,0.14,18.9,31,280.6
Pump,Afternoon,Yes,5.79,841,73.9,67.9,0.61,43.8,34,254.7
Compressor,Morning,No,15.97,986,100.0,52.5,3.87,58.3,102,363.1
Conveyor,Afternoon,No,3.02,567,46.5,42.7,1.26,26.4,98,164.4
CNC,Morning,No,22.55,949,92.3,72.4,5.82,55.8,118,345.4
Conveyor,Afternoon,No,19.07,723,32.4,44.5,1.57,31.5,61,212.3
Compressor,Morning,No,22.56,1041,100.0,57.1,1.94,53.8,110,409.0
Pump,Afternoon,No,7.03,722,64.7,53.2,1.38,48.9,73,264.8
Conveyor,Afternoon,Yes,11.08,685,49.8,52.2,1.03,9.1,117,184.9
Compressor,Morning,Yes,11.71,1465,94.9,96.6,7.0,83.6,110,369.8
Compressor,Afternoon,Yes,6.64,1257,99.8,79.3,3.16,63.4,65,315.5
CNC,Morning,No,22.33,729,82.1,79.3,3.71,56.0,118,361.2
Compressor,Afternoon,No,21.49,1220,94.9,96.1,1.66,94.7,36,399.8
Compressor,Afternoon,Yes,17.56,861,100.0,73.4,7.63,35.0,56,365.9
Compressor,Night,No,19.34,1345,99.8,99.1,4.37,46.4,30,423.2
Conveyor,Night,No,14.63,631,52.1,55.6,0.53,22.7,10,232.1
Compressor,Night,No,17.58,1065,64.0,86.4,4.07,40.2,64,319.9
Compressor,Afternoon,No,23.41,1014,67.1,80.4,3.83,66.7,59,383.5
Pump,Morning,No,4.27,843,56.9,56.3,1.74,70.7,94,216.8
CNC,Afternoon,No,5.05,982,74.4,76.1,2.89,45.1,109,304.4
Compressor,Afternoon,No,19.21,1224,87.6,79.6,3.97,28.0,24,388.8
Compressor,Afternoon,No,1.26,1205,87.3,94.7,1.66,46.3,55,330.9
Compressor,Afternoon,No,2.94,1115,100.0,98.3,3.68,62.8,1,294.9
CNC,Night,No,18.29,892,93.5,64.0,7.05,34.3,6,349.1
Conveyor,Afternoon,Yes,6.4,698,43.1,49.6,1.97,58.9,42,209.1
CNC,Night,No,18.71,959,47.0,72.2,1.54,46.1,27,267.9
Pump,Night,No,10.45,954,68.7,53.9,1.53,45.7,72,277.9
Conveyor,Afternoon,No,13.13,518,40.8,51.4,1.14,7.3,24,204.3
CNC,Morning,No,20.71,915,60.9,51.0,3.31,55.4,92,256.1
Pump,Afternoon,Yes,10.24,780,54.9,54.8,1.63,40.9,85,181.8
Conveyor,Morning,No,14.01,611,66.5,60.9,0.92,66.8,62,238.1
Pump,Morning,No,14.21,696,77.7,47.4,3.96,53.5,95,252.4
CNC,Night,Yes,12.54,939,80.1,76.4,7.4,57.2,95,341.2
CNC,Night,No,5.84,973,71.4,56.4,0.46,46.5,18,241.8
Pump,Night,No,23.48,885,77.8,53.5,4.37,45.0,38,337.4
Conveyor,Morning,No,2.61,599,58.9,48.8,2.43,49.2,102,170.3
CNC,Afternoon,No,22.52,872,58.8,73.1,9.19,0.0,59,350.7
Compressor,Night,Yes,8.06,929,100.0,80.2,0.7,34.1,36,336.5
CNC,Morning,No,3.7,1065,66.2,52.6,3.02,39.8,83,229.7
CNC,Morning,No,9.23,1229,67.8,76.7,0.96,20.8,30,280.2
Compressor,Night,No,22.04,1250,88.6,95.4,5.78,32.8,73,413.2
CNC,Night,No,15.93,803,72.4,71.5,1.41,59.5,105,321.8
Conveyor,Night,No,17.94,532,39.8,48.9,1.53,31.9,73,241.8
Compressor,Afternoon,Yes,4.16,917,100.0,72.6,3.26,24.2,110,286.7
Pump,Afternoon,No,17.9,780,42.5,44.1,3.7,35.0,84,256.1
Pump,Night,No,2.25,512,60.1,67.6,2.5,48.3,23,223.3
CNC,Night,No,17.7,1421,54.5,80.6,5.39,41.1,1,345.7
Compressor,Afternoon,No,22.21,1061,100.0,82.6,5.98,57.0,14,434.0
Conveyor,Afternoon,No,7.35,747,46.7,37.6,0.3,46.2,92,154.7
Compressor,Night,Yes,18.16,1434,98.3,84.5,1.02,30.3,28,361.5
Compressor,Night,No,1.13,944,80.3,88.9,3.11,48.5,84,290.0
CNC,Afternoon,No,17.86,1054,66.0,68.2,0.75,93.7,67,336.6
CNC,Morning,No,20.23,788,67.0,71.1,2.42,49.8,9,273.7
CNC,Morning,No,2.39,1041,72.5,65.4,2.46,52.9,103,258.9
Compressor,Morning,No,14.29,881,98.1,104.2,3.97,34.9,11,340.6
Compressor,Morning,No,5.15,675,92.2,80.4,1.01,62.8,3,252.2
Compressor,Afternoon,No,16.95,1074,72.7,79.9,9.07,40.9,26,351.1
CNC,Afternoon,No,8.01,998,94.1,68.7,2.41,60.7,56,339.0
CNC,Morning,No,11.73,1041,74.2,55.2,2.01,13.8,59,255.6
Pump,Morning,No,13.59,796,56.6,56.9,0.34,14.3,74,250.7
Compressor,Afternoon,Yes,6.84,1025,94.4,86.6,2.27,35.8,89,301.5
Conveyor,Night,No,18.55,743,51.7,51.9,1.55,40.0,42,264.2
Compressor,Night,No,1.26,873,97.2,96.2,2.42,59.8,49,278.8
CNC,Night,No,2.63,766,76.6,65.4,2.61,11.1,64,245.4
Pump,Afternoon,Yes,6.98,692,71.9,57.4,1.32,76.8,101,222.8
CNC,Morning,No,9.72,875,67.0,64.0,5.17,37.2,103,277.6
Pump,Night,No,14.51,803,60.2,55.3,4.33,51.5,17,256.6
Conveyor,Afternoon,No,14.38,720,52.6,44.4,2.63,45.8,2,280.8
Conveyor,Night,No,7.81,646,55.5,45.7,0.84,37.8,48,210.1
Compressor,Afternoon,Yes,20.27,1270,100.0,99.5,2.0,44.1,109,383.3
CNC,Morning,No,8.64,786,76.1,73.8,4.63,44.9,105,312.9
CNC,Morning,No,11.46,904,67.6,63.2,2.87,19.7,97,260.7
Conveyor,Night,No,4.79,661,57.5,40.6,3.26,37.5,119,202.1
Pump,Morning,No,5.62,683,76.4,52.9,5.84,70.5,29,267.2
CNC,Afternoon,No,18.71,1166,67.9,60.4,5.1,71.4,9,308.9
Conveyor,Morning,Yes,7.97,630,55.9,41.6,0.69,66.0,62,163.2
Compressor,Afternoon,No,4.8,1106,88.2,87.1,3.03,46.2,63,291.7
Conveyor,Afternoon,Yes,15.39,867,67.4,45.9,0.9,60.9,28,211.4
CNC,Morning,No,5.61,905,83.0,69.4,1.7,42.9,41,241.7
CNC,Afternoon,No,14.9,904,64.4,63.8,6.24,20.0,115,343.7
Pump,Morning,Yes,16.79,454,59.1,49.8,0.61,63.0,71,227.5
CNC,Morning,Yes,14.49,879,75.1,70.0,1.81,32.0,94,337.4
CNC,Night,No,13.29,754,95.0,53.4,0.72,90.0,34,314.6
Compressor,Night,No,23.97,1118,84.7,127.4,4.74,57.9,20,435.2
Pump,Morning,No,4.36,859,60.5,50.4,2.34,29.2,28,200.5
Pump,Morning,Yes,4.61,372,72.6,49.7,0.81,73.9,32,171.9
CNC,Morning,No,20.41,688,51.1,51.0,1.79,53.6,78,270.3
Conveyor,Morning,No,1.52,709,64.5,43.5,1.37,36.3,6,212.2
Pump,Morning,No,1.76,662,99.8,52.4,1.94,38.1,113,182.4
Pump,Morning,No,11.65,604,64.6,47.8,3.28,63.9,24,241.1
Pump,Night,No,9.17,1011,67.7,64.7,2.71,33.6,28,260.2
Compressor,Afternoon,No,4.06,817,100.0,78.1,1.68,32.1,101,291.7
Pump,Morning,Yes,13.19,801,63.0,57.2,1.91,81.9,40,301.5
Compressor,Night,No,17.69,835,91.7,95.3,4.89,54.4,117,357.3
Pump,Night,No,8.27,743,57.4,59.6,1.97,40.6,97,250.9
Compressor,Afternoon,Yes,18.76,981,100.0,66.8,1.57,46.1,89,373.0
Pump,Afternoon,No,13.87,808,50.1,57.3,1.12,35.5,69,245.4
Compressor,Afternoon,No,17.79,1296,93.0,76.8,8.64,36.4,90,395.2
Pump,Afternoon,No,5.93,674,70.6,68.8,1.01,50.5,34,237.5
Conveyor,Night,No,11.91,840,55.4,48.5,1.83,33.0,65,268.9
Pump,Night,No,7.53,867,59.2,63.6,0.71,37.2,13,220.1
CNC,Afternoon,No,1.76,1080,62.4,65.8,0.64,0.0,96,225.6
CNC,Afternoon,No,4.67,858,78.4,63.4,2.61,66.6,119,266.6
CNC,Night,No,5.99,1081,71.6,63.0,2.59,56.1,29,241.0
Compressor,Morning,No,5.45,741,77.7,70.5,3.2,54.3,113,247.2
CNC,Night,No,11.11,744,56.7,71.5,1.87,42.2,34,286.1
Pump,Afternoon,Yes,14.46,854,44.3,58.2,2.43,3.5,47,244.1
Pump,Night,No,22.11,775,53.5,62.0,1.73,62.3,62,313.0
CNC,Night,No,2.88,859,60.4,84.4,3.14,68.9,79,265.6
Conveyor,Night,Yes,6.13,953,48.8,47.0,2.48,43.1,111,224.6
Conveyor,Night,No,10.57,452,43.9,52.1,1.34,49.1,30,217.0
Compressor,Afternoon,No,13.88,1323,83.8,80.7,4.52,47.3,55,356.1
Conveyor,Morning,No,22.01,707,41.6,48.3,2.3,34.1,88,268.9
CNC,Morning,No,22.83,781,93.8,65.1,4.48,30.4,15,316.0
CNC,Night,No,2.42,978,59.7,76.1,0.56,48.3,93,270.7
Pump,Afternoon,No,17.4,695,74.9,52.7,0.75,30.3,39,269.6
CNC,Afternoon,No,11.47,481,77.3,73.3,6.37,50.3,16,288.8
CNC,Afternoon,No,2.06,703,92.6,75.2,3.06,48.5,13,263.0
Conveyor,Afternoon,No,22.11,758,36.0,49.7,2.01,38.9,18,230.0
CNC,Afternoon,No,13.6,962,86.9,60.6,1.82,51.4,110,319.3
Pump,Night,No,23.3,846,58.6,51.1,3.17,31.6,46,292.8
CNC,Afternoon,No,10.63,920,64.0,67.8,0.48,72.9,45,252.1
Compressor,Morning,No,2.13,1257,74.9,75.4,1.97,83.5,48,258.4
Pump,Night,Yes,2.15,714,49.5,49.5,3.72,31.2,20,148.9
CNC,Night,No,18.52,733,83.5,72.9,2.63,38.3,12,284.0
CNC,Afternoon,No,17.57,1094,80.0,71.8,2.9,21.6,64,312.8
CNC,Afternoon,No,7.36,737,75.6,60.2,2.98,24.9,44,236.0
Conveyor,Afternoon,No,2.31,627,60.3,48.1,4.31,30.6,34,171.6
Pump,Morning,No,3.46,707,61.8,48.6,2.48,60.4,37,204.5
CNC,Afternoon,No,1.67,1317,67.5,70.5,1.72,41.0,79,228.5
Conveyor,Night,No,2.2,551,50.3,46.7,1.22,37.0,10,140.5
Compressor,Afternoon,Yes,5.17,1149,60.1,81.4,4.25,67.8,39,273.9
Compressor,Afternoon,Yes,13.84,1328,91.0,78.4,3.18,68.2,35,358.1
Pump,Morning,No,20.74,819,44.4,38.0,2.19,49.1,92,261.5
Compressor,Afternoon,No,2.02,1423,95.3,106.0,6.15,23.6,64,300.0
Pump,Morning,No,15.74,829,53.6,42.8,1.05,29.6,109,220.9
Compressor,Afternoon,No,14.27,1355,97.8,97.3,3.12,52.9,92,410.3
CNC,Morning,No,12.03,1295,77.8,69.4,0.81,70.6,8,285.6
Pump,Morning,No,3.84,579,70.0,49.4,0.78,41.6,84,207.4
CNC,Afternoon,No,10.74,1053,66.7,60.4,3.81,56.4,66,319.6
Conveyor,Night,No,2.15,800,51.3,43.8,7.45,85.2,17,245.1
Pump,Afternoon,No,7.85,442,65.9,60.6,2.07,26.8,28,219.8
Compressor,Morning,No,23.51,1511,98.1,73.5,0.97,68.8,2,365.7
Compressor,Morning,No,5.89,1393,80.7,81.4,5.32,36.0,108,372.8
Conveyor,Night,No,13.51,404,55.7,49.9,4.17,41.9,71,246.6
Pump,Night,Yes,10.32,939,59.4,64.3,0.3,58.3,106,232.7
Conveyor,Night,Yes,14.81,613,43.0,54.8,0.85,19.5,46,228.4
Conveyor,Morning,No,5.71,759,31.9,52.7,1.89,42.2,76,150.8
Conveyor,Night,No,10.93,738,57.8,51.2,1.84,17.8,103,261.0
Compressor,Morning,Yes,5.68,920,100.0,82.4,4.32,59.7,10,269.7
Pump,Afternoon,No,9.76,796,50.6,51.4,2.06,45.7,7,207.6
CNC,Morning,No,2.29,989,61.1,57.9,0.87,65.1,6,177.0
Compressor,Morning,Yes,2.74,949,100.0,73.0,1.15,34.3,69,274.3
CNC,Night,Yes,7.87,1128,87.5,66.9,2.86,25.2,114,335.2
Compressor,Morning,No,1.4,886,100.0,76.1,7.47,20.6,114,314.2
Pump,Night,No,4.53,950,64.6,60.3,1.36,43.5,8,207.4
CNC,Morning,No,23.48,1309,79.3,75.1,0.18,58.5,90,392.4
Conveyor,Morning,Yes,19.21,633,44.8,39.2,5.29,25.6,76,235.9
CNC,Afternoon,No,19.07,921,100.0,65.7,5.3,83.5,19,338.8
CNC,Night,No,2.52,884,68.2,77.4,1.78,46.1,93,233.5
CNC,Night,No,22.27,890,61.8,90.5,4.05,36.6,103,322.8
Pump,Night,Yes,18.74,629,70.7,57.1,5.63,46.3,107,275.4
Compressor,Morning,Yes,5.62,1175,84.3,86.6,1.19,38.6,9,263.7
Conveyor,Night,No,7.45,548,45.6,55.6,1.85,38.6,77,242.5
Pump,Night,No,14.55,766,77.6,60.0,0.89,39.4,99,331.2
Conveyor,Night,No,9.36,521,46.3,60.5,2.15,86.6,62,231.1
Compressor,Night,No,3.97,1190,100.0,83.3,5.65,44.9,43,337.8
Pump,Afternoon,Yes,15.4,680,65.3,66.5,1.04,31.9,57,285.7
Compressor,Morning,Yes,4.08,943,71.0,80.5,6.18,31.2,6,243.3
Compressor,Afternoon,No,8.63,940,92.6,75.2,3.44,60.6,72,344.6
CNC,Afternoon,No,21.96,1045,70.3,72.3,3.28,39.4,3,342.7
Conveyor,Night,No,22.19,452,48.1,36.5,3.49,62.3,93,237.4
CNC,Night,Yes,1.89,1030,77.4,88.2,2.08,65.0,33,237.2
CNC,Night,No,13.38,945,46.8,61.7,4.0,33.3,81,264.4
Compressor,Morning,No,8.1,1363,92.1,44.0,7.63,37.4,18,316.8
Pump,Morning,No,2.13,827,71.5,54.9,0.41,53.0,3,150.3
Compressor,Afternoon,No,13.85,901,98.5,69.5,1.61,39.3,102,316.4
Pump,Night,No,13.29,818,54.6,68.1,1.57,29.4,90,242.4
Conveyor,Night,No,1.57,634,62.6,38.2,2.24,20.5,100,192.6
Pump,Night,Yes,17.53,690,64.9,51.2,1.88,58.0,65,319.2
CNC,Morning,Yes,10.92,700,82.9,72.9,1.46,32.6,113,297.1
CNC,Morning,No,23.96,1250,76.1,64.9,0.75,61.4,46,339.5
CNC,Morning,No,5.53,1129,97.5,77.4,1.73,35.7,58,303.9
Conveyor,Morning,Yes,12.85,563,70.6,48.0,1.39,53.3,22,262.5
Compressor,Morning,No,19.66,1245,60.4,82.7,9.41,84.4,36,380.9
CNC,Night,No,8.7,987,54.6,84.3,6.88,64.4,42,293.2
CNC,Morning,Yes,4.44,834,71.0,55.2,0.33,49.6,63,215.0
Compressor,Morning,No,16.89,1059,82.0,62.2,3.95,20.6,68,348.6
Compressor,Morning,No,21.18,979,100.0,79.3,3.15,100.4,91,420.4
Pump,Night,No,16.55,639,59.6,62.2,2.76,100.0,70,293.4
Conveyor,Morning,No,19.59,560,48.6,43.1,1.97,30.6,76,264.8
Pump,Afternoon,Yes,12.57,886,41.5,53.7,3.28,32.5,7,223.2
Compressor,Night,No,12.59,853,92.9,90.5,2.37,79.2,87,313.6
CNC,Afternoon,No,11.21,1140,84.3,89.7,2.5,43.1,67,289.1
Compressor,Afternoon,No,22.39,1283,100.0,98.0,2.99,25.1,15,356.8
CNC,Night,Yes,3.53,1403,56.6,70.7,6.7,21.0,90,266.4
CNC,Afternoon,No,4.17,1057,76.9,51.6,2.19,79.4,53,261.7
Pump,Morning,No,10.45,722,81.3,47.6,1.39,24.5,64,207.0
Compressor,Night,No,10.04,1003,100.0,99.6,1.32,80.3,78,331.4
Conveyor,Afternoon,No,23.88,493,58.5,44.4,2.33,53.2,70,270.1
Pump,Afternoon,Yes,11.95,696,71.9,48.6,1.64,28.5,72,230.9
Pump,Afternoon,No,16.5,921,47.6,45.7,3.37,117.1,102,300.5
Compressor,Morning,No,20.37,1099,71.7,76.4,5.56,36.4,107,369.9
CNC,Morning,No,1.89,978,69.3,64.2,5.29,37.1,84,231.4
Compressor,Night,No,12.23,1084,74.2,103.9,6.72,62.4,80,348.8
Compressor,Afternoon,No,16.27,537,57.6,95.3,4.81,12.7,35,295.8
CNC,Morning,No,4.17,1424,70.0,66.1,2.42,35.0,94,279.7
Pump,Morning,No,14.52,593,72.8,61.6,3.35,74.0,54,253.9
Pump,Morning,No,22.78,966,65.9,35.2,1.3,78.6,83,280.0
Compressor,Morning,No,14.02,1300,88.8,83.5,2.27,71.6,48,335.3
Pump,Afternoon,No,16.28,713,70.1,55.0,2.33,73.8,101,319.5
Pump,Afternoon,No,12.47,524,60.4,51.5,1.63,54.4,35,227.8
CNC,Morning,No,4.15,556,61.8,81.0,2.31,32.9,2,222.4
CNC,Night,No,5.26,1186,81.4,73.7,2.7,45.3,119,261.9
Compressor,Morning,No,2.56,1076,90.0,60.9,5.35,67.6,52,279.4
Pump,Night,No,21.46,592,65.2,54.3,2.96,63.2,56,325.9
Compressor,Night,Yes,7.47,809,90.3,101.8,4.51,107.0,20,312.5
Pump,Afternoon,No,3.13,754,45.2,56.8,3.51,48.2,7,187.6
Compressor,Night,No,2.98,1068,100.0,100.0,3.18,62.1,45,296.8
Compressor,Night,Yes,2.47,953,70.6,71.5,3.02,14.9,86,271.1
Pump,Night,Yes,13.2,999,66.9,52.1,2.6,10.2,100,242.3
Conveyor,Afternoon,No,1.54,755,50.8,46.2,0.47,56.5,28,172.6
CNC,Afternoon,Yes,10.32,772,66.9,66.1,1.53,39.2,14,273.1
CNC,Morning,No,14.91,1087,74.3,78.4,1.94,24.4,85,309.6
Compressor,Night,No,6.05,1300,94.7,95.1,2.26,31.1,93,338.2
CNC,Morning,No,14.62,1251,71.1,67.8,3.38,33.9,104,275.8
Pump,Night,No,19.15,833,55.7,60.6,6.45,28.5,19,334.8
CNC,Afternoon,No,9.86,1130,82.1,60.7,1.41,35.4,59,301.8
Conveyor,Night,No,11.98,850,40.5,36.0,1.47,12.2,39,192.5
CNC,Afternoon,No,6.88,1062,38.3,61.2,1.63,39.3,117,223.8
Pump,Afternoon,No,17.06,738,52.7,57.0,1.65,0.0,65,257.4
Conveyor,Morning,Yes,14.03,425,54.5,35.3,0.73,53.1,92,172.9
Pump,Morning,No,6.8,990,73.0,58.8,1.43,59.6,13,289.2
Conveyor,Night,No,17.66,428,56.7,55.8,2.79,61.7,115,310.5
Compressor,Afternoon,No,4.56,1338,100.0,91.9,6.13,64.4,99,343.1
Conveyor,Morning,No,11.83,708,61.2,41.4,2.07,34.2,65,222.5
Pump,Afternoon,No,12.88,894,43.8,47.3,2.43,73.3,10,233.8
Compressor,Night,No,13.32,1417,65.7,105.3,3.27,31.5,81,392.0
CNC,Night,No,4.42,649,63.4,71.4,1.19,63.7,77,243.9
Compressor,Afternoon,No,8.79,1126,100.0,95.7,0.79,54.0,25,358.3
CNC,Afternoon,No,22.0,945,64.4,78.9,2.93,53.7,68,330.4
Compressor,Night,Yes,6.96,1571,97.3,85.3,9.9,53.3,11,361.2
Conveyor,Morning,No,9.45,394,42.5,43.3,1.23,41.3,101,202.3
Conveyor,Morning,No,9.31,497,52.2,50.9,0.75,44.6,95,227.8
Compressor,Afternoon,Yes,8.29,1115,92.3,80.4,1.75,62.9,87,328.8
Compressor,Morning,Yes,3.7,1175,100.0,82.8,6.18,54.9,56,317.6
CNC,Morning,No,12.12,1264,75.4,59.7,2.63,90.4,114,325.4
Pump,Afternoon,Yes,1.6,578,66.6,49.2,0.33,31.4,100,144.9
Compressor,Morning,No,15.15,835,100.0,84.9,0.63,10.8,105,346.7
CNC,Morning,No,8.01,871,50.6,62.9,2.14,47.4,76,222.9
Pump,Afternoon,No,22.6,781,70.3,44.1,2.8,43.4,51,325.1
CNC,Morning,No,9.45,593,99.3,77.1,0.83,29.5,119,284.8
CNC,Night,No,7.39,839,55.4,72.3,2.87,57.1,97,283.0
CNC,Night,Yes,19.42,1031,66.4,62.0,2.86,15.3,14,295.1
CNC,Morning,Yes,5.85,1192,96.8,63.6,2.77,47.5,68,238.8
Compressor,Afternoon,No,23.15,743,80.8,76.1,7.22,39.6,118,358.1
Conveyor,Morning,No,1.69,884,53.5,42.8,1.05,58.8,84,214.0
Compressor,Morning,No,7.36,1054,83.2,89.5,0.71,39.6,38,308.2
Conveyor,Morning,No,17.89,532,51.7,53.2,1.9,40.6,28,198.7
Pump,Morning,No,1.15,889,60.9,54.3,2.41,50.6,13,185.6
Compressor,Morning,Yes,11.03,1520,63.2,73.3,3.93,33.4,63,319.8
Pump,Afternoon,Yes,22.5,641,51.0,53.1,1.2,72.3,61,295.9
Pump,Morning,No,14.38,829,65.6,54.0,0.59,52.6,110,286.2
CNC,Morning,No,11.32,720,56.2,66.6,2.49,40.9,81,262.0
Compressor,Night,No,15.98,560,90.1,87.0,6.61,58.7,55,332.0
CNC,Morning,Yes,8.32,1140,51.5,72.9,0.65,57.5,9,253.5
Pump,Morning,No,10.52,843,66.1,50.4,2.1,61.9,88,232.6
Conveyor,Morning,No,12.21,726,53.2,47.4,0.46,46.0,38,199.6
Pump,Night,No,4.29,697,55.9,62.6,3.52,59.4,40,237.5
Conveyor,Morning,No,5.27,609,53.4,63.3,2.5,4.9,102,255.0
Conveyor,Morning,Yes,23.37,411,81.2,46.0,0.93,40.4,103,255.9
Pump,Night,No,1.8,923,52.3,59.7,3.01,30.5,66,242.4
CNC,Night,No,5.46,1032,58.9,75.3,5.42,84.0,100,255.7
CNC,Morning,No,18.11,874,48.0,71.2,4.45,69.7,1,256.7
Pump,Morning,No,8.89,807,58.6,55.7,1.94,36.1,67,251.7
Pump,Morning,No,23.77,879,82.4,53.6,1.63,46.9,112,279.3
Compressor,Night,No,1.68,1173,75.8,80.8,2.18,65.3,9,333.4
Compressor,Afternoon,No,10.12,1227,90.2,83.5,2.37,10.7,24,274.4
CNC,Afternoon,No,1.97,866,88.5,70.0,5.05,56.6,16,284.5
Pump,Night,No,13.89,821,61.7,61.2,1.67,42.3,71,264.4
CNC,Afternoon,No,3.42,1521,61.3,68.5,1.94,34.4,44,252.9
CNC,Afternoon,Yes,14.85,831,59.7,67.2,5.34,23.7,59,261.6
Conveyor,Night,No,16.65,787,47.1,50.4,1.0,33.2,89,235.1
CNC,Morning,No,10.04,1242,65.2,66.5,1.71,32.1,13,232.1
CNC,Morning,No,10.74,677,55.2,50.0,3.7,47.2,2,218.5
Compressor,Afternoon,No,18.99,1242,87.8,69.4,4.67,99.4,119,362.0
CNC,Afternoon,No,4.7,842,75.1,71.9,5.5,60.2,81,257.5
Conveyor,Afternoon,No,23.3,596,56.5,45.8,0.58,44.9,13,282.1
Compressor,Night,No,13.99,1337,100.0,98.6,1.05,47.1,79,378.9
Compressor,Afternoon,No,21.74,1344,79.3,84.6,4.03,33.2,35,354.4
Compressor,Morning,No,23.18,1544,100.0,78.4,2.65,69.5,109,411.2
Pump,Afternoon,No,14.38,865,79.5,53.3,0.89,45.3,19,241.4
CNC,Morning,No,11.91,1046,77.4,56.8,1.71,50.8,92,240.4
Pump,Night,No,2.87,810,47.6,55.5,1.68,78.1,58,194.9
CNC,Afternoon,Yes,4.47,818,62.8,77.3,3.96,40.1,68,266.1
Compressor,Afternoon,No,23.23,983,86.2,79.3,1.64,58.5,85,383.8
Pump,Afternoon,No,2.43,819,83.6,60.2,3.04,20.4,22,226.9
